Class,Original_F1,Quantized_F1,F1_Delta
Whispering,0.9019607843137255,0.912621359223301,0.010660574909575504
Typing,0.9263157894736842,0.9263157894736842,0.0
Phone_ringing,0.9583333333333334,0.9583333333333334,0.0
Loud_talking,0.9345794392523364,0.9433962264150944,0.00881678716275791
